x,y,z
0.175501,0.319202,0.380411
0.190804,0.317995,0.378971
0.207637,0.316666,0.377388
0.226154,0.315205,0.375646
0.246522,0.313597,0.373731
0.268927,0.311829,0.371623
0.293572,0.309884,0.369305
0.320682,0.307744,0.366755
0.350504,0.305391,0.36395
0.383307,0.302802,0.360865
0.41939,0.299954,0.357471
0.459082,0.296821,0.353738
0.502743,0.293375,0.349631
0.55077,0.289585,0.345114
0.6036,0.285415,0.340144
0.638042,0.281815,0.335854
0.671944,0.276501,0.329521
0.705097,0.269504,0.321183
0.737302,0.260868,0.31089
0.768361,0.250645,0.298707
0.798086,0.238896,0.284705
0.826296,0.225694,0.268972
0.85282,0.211119,0.251602
0.877495,0.195259,0.232701
0.900173,0.178212,0.212385
0.911093,0.171005,0.203796
0.924092,0.165401,0.197117
0.938608,0.16164,0.192635
0.956824,0.158283,0.188634
0.975039,0.154926,0.184633
0.993254,0.151568,0.180632
0.993254,0.131924,0.157221
0.993254,0.110315,0.131468
0.993254,0.0865454,0.103141
0.993254,0.0603988,0.0719805
0.993254,0.0316375,0.0377041
0.993254,0.0,0.0
0.0,0.0,0.0
0.00222086,0.0508529,0.0426707
0.00800945,0.0964326,0.0809166
0.0162716,0.13716,0.115091
0.0261595,0.173475,0.145562
0.0370249,0.205807,0.172693
0.0483785,0.23457,0.196827
0.0598573,0.260144,0.218287
0.0711969,0.282881,0.237365
0.0822096,0.303098,0.254329
0.0927669,0.321078,0.269417
0.102786,0.337077,0.282841
0.112217,0.351319,0.294792
0.121037,0.364005,0.305436
0.129241,0.375311,0.314923
0.130284,0.376571,0.315981
0.131483,0.377747,0.316968
0.132826,0.378828,0.317874
0.134301,0.379802,0.318692
0.135894,0.380661,0.319413
0.137589,0.381397,0.32003
0.139369,0.382002,0.320538
0.141219,0.38247,0.32093
0.143119,0.382797,0.321205
0.145052,0.382981,0.321359
0.147,0.383018,0.32139
0.148942,0.382909,0.321299
0.161589,0.381719,0.3203
0.175501,0.380411,0.319202
0.190804,0.378971,0.317995
0.207637,0.377388,0.316666
0.226154,0.375646,0.315205
0.246522,0.373731,0.313597
0.268927,0.371623,0.311829
0.293572,0.369305,0.309884
0.320682,0.366755,0.307744
0.350504,0.36395,0.305391
0.383307,0.360865,0.302802
0.41939,0.357471,0.299954
0.459082,0.353738,0.296821
0.502743,0.349631,0.293375
0.55077,0.345113,0.289585
0.6036,0.340144,0.285415
0.638042,0.335854,0.281815
0.671944,0.329521,0.276501
0.705097,0.321183,0.269504
0.737302,0.31089,0.260868
0.768361,0.298707,0.250645
0.798086,0.284705,0.238896
0.826296,0.268972,0.225694
0.85282,0.251602,0.211119
0.877495,0.232701,0.195259
0.900173,0.212384,0.178212
0.911093,0.203796,0.171005
0.924092,0.197117,0.165401
0.938608,0.192635,0.16164
0.956824,0.188634,0.158283
0.975039,0.184633,0.154926
0.993254,0.180632,0.151568
0.993254,0.157221,0.131924
0.993254,0.131468,0.110315
0.993254,0.103141,0.0865455
0.993254,0.0719805,0.0603988
0.993254,0.0377041,0.0316375
0.993254,0.0,0.0
0.0,0.0,0.0
0.00222086,0.05749,0.0331919
0.00800945,0.109019,0.0629419
0.0162716,0.155062,0.089525
0.0261595,0.196116,0.113227
0.0370249,0.232668,0.134331
0.0483785,0.265185,0.153104
0.0598573,0.294097,0.169797
0.0711969,0.319802,0.184638
0.0822096,0.342657,0.197833
0.0927669,0.362984,0.209569
0.102786,0.381071,0.220011
0.112217,0.397171,0.229307
0.121037,0.411513,0.237587
0.129241,0.424295,0.244967
0.130284,0.42572,0.245789
0.131483,0.427049,0.246557
0.132826,0.428271,0.247262
0.134301,0.429372,0.247898
0.135894,0.430344,0.248459
0.137589,0.431175,0.248939
0.139369,0.431859,0.249334
0.141219,0.432388,0.24964
0.143119,0.432758,0.249853
0.145052,0.432966,0.249973
0.147,0.433008,0.249997
0.148942,0.432884,0.249926
0.161589,0.43154,0.24915
0.175501,0.43006,0.248295
0.190804,0.428433,0.247356
0.207637,0.426643,0.246323
0.226154,0.424674,0.245186
0.246522,0.422508,0.243935
0.268927,0.420126,0.24256
0.293572,0.417505,0.241047
0.320682,0.414623,0.239382
0.350504,0.411452,0.237552
0.383307,0.407963,0.235538
0.41939,0.404126,0.233323
0.459082,0.399906,0.230886
0.502743,0.395263,0.228205
0.55077,0.390156,0.225257
0.6036,0.384539,0.222014
0.638042,0.379689,0.219213
0.671944,0.372529,0.21508
0.705097,0.363102,0.209637
0.737302,0.351467,0.202919
0.768361,0.337692,0.194967
0.798086,0.321864,0.185828
0.826296,0.304077,0.175559
0.85282,0.28444,0.164221
0.877495,0.263072,0.151885
0.900173,0.240104,0.138624
0.911093,0.230394,0.133018
0.924092,0.222844,0.128659
0.938608,0.217777,0.125734
0.956824,0.213254,0.123122
0.975039,0.208731,0.120511
0.993254,0.204207,0.117899
0.993254,0.177741,0.102619
0.993254,0.148627,0.08581
0.993254,0.116602,0.0673204
0.993254,0.0813751,0.0469819
0.993254,0.042625,0.0246096
0.993254,0.0,0.0
0.0,0.0,0.0
0.00222086,0.0623804,0.0227046
0.00800945,0.118292,0.0430548
0.0162716,0.168252,0.0612388
0.0261595,0.212798,0.0774522
0.0370249,0.25246,0.0918879
0.0483785,0.287742,0.10473
0.0598573,0.319114,0.116148
0.0711969,0.347005,0.1263
0.0822096,0.371804,0.135326
0.0927669,0.393861,0.143354
0.102786,0.413486,0.150497
0.112217,0.430956,0.156855
0.121037,0.446518,0.162519
0.129241,0.460387,0.167567
0.130284,0.461933,0.16813
0.131483,0.463376,0.168655
0.132826,0.464701,0.169137
0.134301,0.465896,0.169573
0.135894,0.46695,0.169956
0.137589,0.467853,0.170284
0.139369,0.468594,0.170555
0.141219,0.469169,0.170764
0.143119,0.46957,0.17091
0.145052,0.469795,0.170992
0.147,0.469841,0.171008
0.148942,0.469707,0.170959
0.161589,0.468248,0.170428
0.175501,0.466643,0.169844
0.190804,0.464877,0.169202
0.207637,0.462935,0.168495
0.226154,0.460799,0.167717
0.246522,0.458448,0.166862
0.268927,0.455863,0.165921
0.293572,0.45302,0.164886
0.320682,0.449892,0.163747
0.350504,0.446451,0.162495
0.383307,0.442666,0.161117
0.41939,0.438503,0.159602
0.459082,0.433923,0.157935
0.502743,0.428886,0.156102
0.55077,0.423344,0.154085
0.6036,0.417249,0.151866
0.638042,0.411986,0.149951
0.671944,0.404217,0.147123
0.705097,0.393989,0.1434
0.737302,0.381364,0.138805
0.768361,0.366418,0.133365
0.798086,0.349243,0.127114
0.826296,0.329943,0.120089
0.85282,0.308635,0.112334
0.877495,0.28545,0.103895
0.900173,0.260528,0.0948245
0.911093,0.249993,0.0909899
0.924092,0.2418,0.0880081
0.938608,0.236302,0.0860071
0.956824,0.231394,0.0842207
0.975039,0.226486,0.0824343
0.993254,0.221578,0.0806478
0.993254,0.19286,0.0701953
0.993254,0.16127,0.0586975
0.993254,0.126521,0.0460499
0.993254,0.0882971,0.0321375
0.993254,0.0462509,0.0168339
0.993254,0.0,0.0
0.0,0.0,0.0
0.00222086,0.0653753,0.0115274
0.00800945,0.123971,0.0218595
0.0162716,0.17633,0.0310917
0.0261595,0.223015,0.0393235
0.0370249,0.264581,0.0466527
0.0483785,0.301557,0.0531726
0.0598573,0.334435,0.0589699
0.0711969,0.363665,0.064124
0.0822096,0.389655,0.0687067
0.0927669,0.41277,0.0727826
0.102786,0.433337,0.0764091
0.112217,0.451647,0.0796376
0.121037,0.467955,0.0825132
0.129241,0.48249,0.0850761
0.130284,0.484111,0.0853618
0.131483,0.485623,0.0856284
0.132826,0.487012,0.0858733
0.134301,0.488264,0.0860942
0.135894,0.489369,0.086289
0.137589,0.490314,0.0864557
0.139369,0.491092,0.0865928
0.141219,0.491694,0.086699
0.143119,0.492115,0.0867732
0.145052,0.49235,0.0868147
0.147,0.492398,0.0868231
0.148942,0.492258,0.0867984
0.161589,0.490729,0.0865288
0.175501,0.489047,0.0862322
0.190804,0.487196,0.0859059
0.207637,0.485161,0.085547
0.226154,0.482922,0.0851522
0.246522,0.480459,0.0847179
0.268927,0.47775,0.0842402
0.293572,0.47477,0.0837147
0.320682,0.471491,0.0831367
0.350504,0.467885,0.0825009
0.383307,0.463919,0.0818015
0.41939,0.459556,0.0810321
0.459082,0.454756,0.0801859
0.502743,0.449477,0.0792549
0.55077,0.443669,0.0782309
0.6036,0.437281,0.0771045
0.638042,0.431766,0.0761321
0.671944,0.423624,0.0746964
0.705097,0.412905,0.0728063
0.737302,0.399673,0.0704732
0.768361,0.38401,0.0677113
0.798086,0.36601,0.0645375
0.826296,0.345783,0.060971
0.85282,0.323453,0.0570335
0.877495,0.299155,0.0527491
0.900173,0.273036,0.0481437
0.911093,0.261995,0.0461968
0.924092,0.253409,0.0446829
0.938608,0.247647,0.0436669
0.956824,0.242504,0.04276
0.975039,0.23736,0.041853
0.993254,0.232216,0.040946
0.993254,0.202119,0.0356391
0.993254,0.169013,0.0298015
0.993254,0.132595,0.0233801
0.993254,0.0925363,0.0163167
0.993254,0.0484714,0.00854682
0.993254,0.0,0.0
0.0,0.0,0.0
0.00222086,0.0663838,8.83954e-9
0.00800945,0.125884,1.67624e-8
0.0162716,0.17905,2.3842e-8
0.0261595,0.226455,3.01543e-8
0.0370249,0.268662,3.57745e-8
0.0483785,0.306209,4.07742e-8
0.0598573,0.339594,4.52197e-8
0.0711969,0.369275,4.9172e-8
0.0822096,0.395666,5.26861e-8
0.0927669,0.419138,5.58116e-8
0.102786,0.440022,5.85925e-8
0.112217,0.458614,6.10682e-8
0.121037,0.475174,6.32733e-8
0.129241,0.489934,6.52386e-8
0.130284,0.491579,6.54577e-8
0.131483,0.493114,6.56621e-8
0.132826,0.494525,6.58499e-8
0.134301,0.495797,6.60193e-8
0.135894,0.496918,6.61687e-8
0.137589,0.497878,6.62965e-8
0.139369,0.498668,6.64016e-8
0.141219,0.499279,6.6483e-8
0.143119,0.499706,6.65399e-8
0.145052,0.499946,6.65718e-8
0.147,0.499994,6.65783e-8
0.148942,0.499852,6.65593e-8
0.161589,0.498299,6.63525e-8
0.175501,0.496591,6.61251e-8
0.190804,0.494712,6.58749e-8
0.207637,0.492645,6.55997e-8
0.226154,0.490372,6.52969e-8
0.246522,0.487871,6.49639e-8
0.268927,0.48512,6.45976e-8
0.293572,0.482094,6.41947e-8
0.320682,0.478765,6.37514e-8
0.350504,0.475103,6.32638e-8
0.383307,0.471076,6.27275e-8
0.41939,0.466645,6.21376e-8
0.459082,0.461772,6.14886e-8
0.502743,0.456411,6.07748e-8
0.55077,0.450514,5.99895e-8
0.6036,0.444027,5.91258e-8
0.638042,0.438427,5.83801e-8
0.671944,0.430159,5.72792e-8
0.705097,0.419274,5.58298e-8
0.737302,0.405839,5.40407e-8
0.768361,0.389934,5.19228e-8
0.798086,0.371656,4.9489e-8
0.826296,0.351118,4.67541e-8
0.85282,0.328443,4.37348e-8
0.877495,0.30377,4.04494e-8
0.900173,0.277248,3.69178e-8
0.911093,0.266037,3.54249e-8
0.924092,0.257318,3.4264e-8
0.938608,0.251468,3.3485e-8
0.956824,0.246245,3.27895e-8
0.975039,0.241022,3.2094e-8
0.993254,0.235798,3.13985e-8
0.993254,0.205237,2.7329e-8
0.993254,0.17162,2.28526e-8
0.993254,0.134641,1.79285e-8
0.993254,0.0939638,1.2512e-8
0.993254,0.0492192,6.55393e-9
0.993254,0.0,0.0
0.0,0.0,0.0
0.00222086,0.0653753,-0.0115274
0.00800945,0.123971,-0.0218595
0.0162716,0.17633,-0.0310917
0.0261595,0.223015,-0.0393234
0.0370249,0.264581,-0.0466527
0.0483785,0.301557,-0.0531726
0.0598573,0.334435,-0.0589698
0.0711969,0.363665,-0.0641239
0.0822096,0.389655,-0.0687066
0.0927669,0.41277,-0.0727825
0.102786,0.433337,-0.076409
0.112217,0.451647,-0.0796375
0.121037,0.467955,-0.0825131
0.129241,0.48249,-0.085076
0.130284,0.484111,-0.0853617
0.131483,0.485623,-0.0856283
0.132826,0.487012,-0.0858732
0.134301,0.488264,-0.0860941
0.135894,0.489369,-0.0862889
0.137589,0.490314,-0.0864556
0.139369,0.491092,-0.0865927
0.141219,0.491694,-0.0866989
0.143119,0.492115,-0.086773
0.145052,0.49235,-0.0868146
0.147,0.492398,-0.086823
0.148942,0.492258,-0.0867983
0.161589,0.490729,-0.0865287
0.175501,0.489047,-0.086232
0.190804,0.487196,-0.0859058
0.207637,0.485161,-0.0855469
0.226154,0.482922,-0.0851521
0.246522,0.480459,-0.0847178
0.268927,0.47775,-0.0842401
0.293572,0.47477,-0.0837146
0.320682,0.471491,-0.0831366
0.350504,0.467885,-0.0825008
0.383307,0.463919,-0.0818014
0.41939,0.459556,-0.081032
0.459082,0.454756,-0.0801857
0.502743,0.449477,-0.0792548
0.55077,0.443669,-0.0782308
0.6036,0.437281,-0.0771044
0.638042,0.431766,-0.076132
0.671944,0.423624,-0.0746963
0.705097,0.412905,-0.0728062
0.737302,0.399673,-0.0704731
0.768361,0.38401,-0.0677112
0.798086,0.36601,-0.0645374
0.826296,0.345783,-0.0609709
0.85282,0.323453,-0.0570335
0.877495,0.299155,-0.052749
0.900173,0.273036,-0.0481436
0.911093,0.261995,-0.0461967
0.924092,0.253409,-0.0446828
0.938608,0.247647,-0.0436669
0.956824,0.242504,-0.0427599
0.975039,0.23736,-0.0418529
0.993254,0.232216,-0.0409459
0.993254,0.202119,-0.035639
0.993254,0.169013,-0.0298015
0.993254,0.132595,-0.0233801
0.993254,0.0925363,-0.0163166
0.993254,0.0484714,-0.00854681
0.993254,0.0,0.0
0.0,0.0,0.0
0.00222086,0.0623804,-0.0227046
0.00800945,0.118292,-0.0430548
0.0162716,0.168252,-0.0612387
0.0261595,0.212798,-0.0774521
0.0370249,0.25246,-0.0918879
0.0483785,0.287742,-0.10473
0.0598573,0.319114,-0.116148
0.0711969,0.347005,-0.126299
0.0822096,0.371804,-0.135326
0.0927669,0.393861,-0.143354
0.102786,0.413486,-0.150496
0.112217,0.430956,-0.156855
0.121037,0.446518,-0.162519
0.129241,0.460387,-0.167567
0.130284,0.461933,-0.16813
0.131483,0.463376,-0.168655
0.132826,0.464701,-0.169137
0.134301,0.465896,-0.169572
0.135894,0.46695,-0.169956
0.137589,0.467853,-0.170284
0.139369,0.468594,-0.170554
0.141219,0.469169,-0.170763
0.143119,0.46957,-0.17091
0.145052,0.469795,-0.170991
0.147,0.469841,-0.171008
0.148942,0.469707,-0.170959
0.161589,0.468248,-0.170428
0.175501,0.466643,-0.169844
0.190804,0.464877,-0.169201
0.207637,0.462935,-0.168494
0.226154,0.460799,-0.167717
0.246522,0.458448,-0.166862
0.268927,0.455863,-0.165921
0.293572,0.45302,-0.164886
0.320682,0.449892,-0.163747
0.350504,0.446451,-0.162495
0.383307,0.442666,-0.161117
0.41939,0.438503,-0.159602
0.459082,0.433923,-0.157935
0.502743,0.428886,-0.156102
0.55077,0.423344,-0.154085
0.6036,0.417249,-0.151866
0.638042,0.411986,-0.149951
0.671944,0.404217,-0.147123
0.705097,0.393989,-0.1434
0.737302,0.381364,-0.138805
0.768361,0.366418,-0.133365
0.798086,0.349243,-0.127114
0.826296,0.329943,-0.120089
0.85282,0.308635,-0.112334
0.877495,0.28545,-0.103895
0.900173,0.260528,-0.0948245
0.911093,0.249993,-0.0909899
0.924092,0.2418,-0.088008
0.938608,0.236302,-0.086007
0.956824,0.231394,-0.0842206
0.975039,0.226486,-0.0824342
0.993254,0.221578,-0.0806478
0.993254,0.19286,-0.0701952
0.993254,0.16127,-0.0586974
0.993254,0.126521,-0.0460499
0.993254,0.0882971,-0.0321375
0.993254,0.0462509,-0.0168339
0.993254,0.0,0.0
0.0,0.0,0.0
0.00222086,0.05749,-0.0331919
0.00800945,0.109019,-0.0629419
0.0162716,0.155062,-0.089525
0.0261595,0.196116,-0.113227
0.0370249,0.232668,-0.134331
0.0483785,0.265185,-0.153104
0.0598573,0.294097,-0.169797
0.0711969,0.319802,-0.184638
0.0822096,0.342657,-0.197833
0.0927669,0.362984,-0.209569
0.102786,0.381071,-0.220011
0.112217,0.397172,-0.229307
0.121037,0.411513,-0.237587
0.129241,0.424295,-0.244967
0.130284,0.42572,-0.245789
0.131483,0.427049,-0.246557
0.132826,0.428271,-0.247262
0.134301,0.429372,-0.247898
0.135894,0.430344,-0.248459
0.137589,0.431175,-0.248939
0.139369,0.431859,-0.249334
0.141219,0.432388,-0.24964
0.143119,0.432758,-0.249853
0.145052,0.432966,-0.249973
0.147,0.433008,-0.249997
0.148942,0.432884,-0.249926
0.161589,0.43154,-0.249149
0.175501,0.43006,-0.248295
0.190804,0.428433,-0.247356
0.207637,0.426643,-0.246322
0.226154,0.424674,-0.245186
0.246522,0.422508,-0.243935
0.268927,0.420126,-0.24256
0.293572,0.417505,-0.241047
0.320682,0.414623,-0.239382
0.350504,0.411452,-0.237552
0.383307,0.407963,-0.235538
0.41939,0.404127,-0.233322
0.459082,0.399906,-0.230886
0.502743,0.395263,-0.228205
0.55077,0.390156,-0.225257
0.6036,0.384539,-0.222013
0.638042,0.379689,-0.219213
0.671944,0.372529,-0.21508
0.705097,0.363102,-0.209637
0.737302,0.351467,-0.202919
0.768361,0.337692,-0.194967
0.798086,0.321864,-0.185828
0.826296,0.304077,-0.175559
0.85282,0.28444,-0.164221
0.877495,0.263072,-0.151885
0.900173,0.240104,-0.138624
0.911093,0.230395,-0.133018
0.924092,0.222844,-0.128659
0.938608,0.217777,-0.125734
0.956824,0.213254,-0.123122
0.975039,0.208731,-0.120511
0.993254,0.204207,-0.117899
0.993254,0.177741,-0.102619
0.993254,0.148627,-0.0858099
0.993254,0.116602,-0.0673204
0.993254,0.0813751,-0.0469819
0.993254,0.042625,-0.0246096
0.993254,0.0,0.0
0.0,0.0,0.0
0.00222086,0.0508529,-0.0426707
0.00800945,0.0964326,-0.0809165
0.0162716,0.13716,-0.115091
0.0261595,0.173475,-0.145562
0.0370249,0.205807,-0.172693
0.0483785,0.23457,-0.196827
0.0598573,0.260144,-0.218287
0.0711969,0.282881,-0.237365
0.0822096,0.303098,-0.254329
0.0927669,0.321078,-0.269417
0.102786,0.337077,-0.282841
0.112217,0.351319,-0.294791
0.121037,0.364005,-0.305436
0.129241,0.375311,-0.314923
0.130284,0.376571,-0.315981
0.131483,0.377747,-0.316968
0.132826,0.378828,-0.317874
0.134301,0.379802,-0.318692
0.135894,0.380661,-0.319413
0.137589,0.381397,-0.32003
0.139369,0.382002,-0.320537
0.141219,0.38247,-0.32093
0.143119,0.382797,-0.321205
0.145052,0.382981,-0.321359
0.147,0.383018,-0.32139
0.148942,0.382909,-0.321299
0.161589,0.381719,-0.3203
0.175501,0.380411,-0.319202
0.190804,0.378971,-0.317995
0.207637,0.377388,-0.316666
0.226154,0.375647,-0.315205
0.246522,0.373731,-0.313597
0.268927,0.371623,-0.311829
0.293572,0.369305,-0.309884
0.320682,0.366755,-0.307744
0.350504,0.36395,-0.30539
0.383307,0.360865,-0.302801
0.41939,0.357471,-0.299954
0.459082,0.353738,-0.296821
